Venue ID,Venue Name,City
6363,The Raj Palace,Jaipur
21871,The Victoria Palace,Jaipur
16737,Samurai Palace,Jaipur
5703,Shree Van Banquet And Wedding Garden,Jaipur
2314,Hotel Paradise,Jaipur
2228,Royal Orchid Central,Jaipur
9106,Hotel Neelam Paradise,Jaipur
17835,DNG The Grand Hotel,Kanpur
20529,Royal Prince Banquet,Kanpur
20127,Hotel Royal Paradise,Kanpur
24228,Awadh Villa Resort,Kanpur
17883,Jai Bhagwan Garden,Kanpur
20420,Krishna Vatika,Kanpur
29494,Negi Banquet Hall,Kanpur
17933,Maanik Crystal Banquet Hall,Kanpur
32554,Mannat Banquet,Kanpur
21666,Hotel Amantran,Kanpur
4833,The Fern Residency,Kolkata
6033,Radisson,Kolkata
3649,Smriti Banquets,Kolkata
6472,Raajkutir Swabhumi,Kolkata
5438,Ozora,Kolkata
6722,Aquatica Water Park And Resort,Kolkata
29533,Shantiniketan Garden,Kolkata
5586,Jamuna Banquets,Kolkata
34869,Urbun Fiesta,Kolkata
37400,Shree Banquets,Kolkata
32786,Kamal Banquets,Kolkata
6453,Shree Utsav Banquet,Kolkata
5533,The Circle Club,Kolkata
5547,Vrindaban Banquet,Kolkata
6034,Hotel Royal Garden,Kolkata
7550,Milan Banquets,Kolkata
10082,NPG Hotel,Kolkata
3827,The Park Hotel,Kolkata
5698,Tangerine Royale Banquets,Kolkata
6654,Uphaar Banquets,Kolkata
15252,Emerald Banquet,Kolkata
20607,Swayamwar,Kolkata
20647,Calcutta Rangers Club,Kolkata
3738,Geetanjali Regency,Kolkata
5699,Royal Bengal Room,Kolkata
5584,Pride Plaza Hotel,Kolkata
22325,Zodiac Banquet,Kolkata
21682,Haldirams,Kolkata
17169,AP Palace Marriage Hall,Lucknow
9788,Hotel Silvete,Lucknow
8419,Party Planet AC Banquet Hall,Lucknow
31970,Nilansh Theme Park Resort and Water Park,Lucknow
12158,DVSR Hotel,Lucknow
9004,Mayassar Party Lawn,Lucknow
21654,Chaudhary The Leaf Garden,Lucknow
8428,Hotel The Leaf,Lucknow
37759,S R Hotel,Lucknow
23613,The Wildleaf,Meerut
15354,Grand Dream Resort,Meerut
15177,Grand Amaree,Meerut
14302,Hotel Harmony Inn,Meerut
3573,Centurion Banquet,Mumbai
5268,Grand Lotus Banquet Hall,Mumbai
32480,Diamond Banquet,Mumbai
35013,Royal Regalia Banquets,Mumbai
4263,Occassions Plus,Mumbai
4586,Gokhale Sabhagruha,Mumbai
264,Country Inn & Suites By Radisson,Mumbai
494,Fortune Select Exotica,Mumbai
33415,Jalsa Open Air Banquet,Mumbai
1027,Palm Beach Lawn and Banquet,Mumbai
1068,Exotica - The Tropical Retreat,Mumbai
34340,Sri Balaji Banquet Hall,Mumbai
833,Hotel Yogi Midtown,Mumbai
33479,Takshvi Lawn,Mumbai
35500,M P Bhawan,Mumbai
1824,The Golden Palm Courtyard,Mumbai
261,Four Points by Sheraton,Mumbai
5145,Sammelan Banquet Hall,Mumbai
654,Hotel Yogi Executive,Mumbai
4338,Vivette Banquet,Mumbai
5329,Samarambh Lawn And Banquets,Mumbai
13087,Prasad Food Divine,Mumbai
14680,Vardhaman Lawn,Mumbai
4754,Rudra Shelter International,Mumbai
4349,Rajmahal Banquets,Mumbai
256,The Regenza By Tunga,Mumbai
5845,Dhuri Resort,Mumbai
9963,7 Vachann,Nagpur
9983,Tuli International,Nagpur
11199,Hotel LB,Nagpur
23689,Raj Celebration,Nagpur
30764,Shree Bhagwati Park,Nagpur
9909,Vishwanath Chamat Sanskrutik Sabhagruh,Nagpur
24394,Heritage Lawns,Nagpur
23938,Hotel Heritage 2001,Nagpur
10336,Hotel Orient Taibah,Nagpur
9899,Shubham Sanskruti Hall,Nagpur
11277,Hotel Siddhartha Inn,Nagpur
17767,Regenta Central Hotel & Convention Centre,Nagpur
14937,Raj Mahal Banquet and Lawn,Nagpur
10225,Hotel Dwarkamai,Nagpur
11081,Gujjar Celebration,Nagpur
9135,Shree Vaibhav Garden Mangal Karyalaya,Nashik
14639,Anand Resort,Nashik
11022,Vrindavan Lawns And Hall,Nashik
14524,Hotel Sonali Garden,Nashik
12522,Hotel Suresh Plaza,Nashik
26974,Mpc Banquet,Nashik
15470,Sadhana Village,Nashik
35929,Lavanya Banquet,Noida
4485,FM Garden,Noida
4276,SS Grand Party Lawn And Banquet,Noida
5442,J S Garden,Noida
32676,R S Utsav Hall,Patna
2811,Hotel Hindustan International,Pune
6825,Mezza9 Family Restaurant,Pune
24127,Saffron Banquets By Dnyanal Mangal Karyalaya,Pune
35196,Sky Venue,Pune
27309,Oasis Restaurant,Pune
37640,Aarnah Banquet Hall,Pune
34569,Sakhee Banquet,Pune
35144,Occasion Lawn,Pune
18170,The Ambassador Hotel,Pune
36784,Nahata Lawns,Pune
6801,Club 29,Pune
14220,Royal Orchid Central,Pune
6985,Swaraj Palace & Lawns,Pune
7400,Royal Lawns,Pune
23969,Rangoli Banquets,Pune
23228,Hotel Mahabir Sheraton,Puri
27575,Hotel Woodcastle,Raipur
24542,Florence Hotel,Raipur
32915,Clarks Inn Suites,Raipur
24196,Hotel Aditya,Raipur
24354,Ram Rama Kalyan Mandapam,Raipur
23286,Hotel Mahendra,Raipur
23314,Peeihar,Raipur
24443,Vriksh The Party Lawn,Raipur
24726,Sangam Palace,Raipur
24811,Apna Parinay Vatika,Raipur
33214,Royal Dine,Surat
13740,La Victoria Banquets,Surat
35729,Privya Banquet,Surat
17909,Elite Rooms And Banquet,Surat
36102,Roxberry Disc and Banquet,Surat
9643,Utsav Banquet And Rooms,Surat
9621,Samprati Hall,Surat
21168,Sanskruti Farm,Surat
22281,Laxmi Wadi Party Plot,Surat
23284,Royal Dine Restaurant And Banquet,Surat
12544,Royal Dine Restaurant,Surat
3169,The Amargarh Resort,Udaipur
3170,The Udai Bagh,Udaipur
2324,Hotel Lakend,Udaipur
1566,Ramada Udaipur Resort and Spa,Udaipur
1922,The Arjun Bagh,Udaipur
15538,Bhairavgarh By Zennia,Udaipur
1813,Fateh Garh,Udaipur
3384,Jeevantara Resort,Udaipur
2023,The Royal Retreat Resort and Spa,Udaipur
